provincia,,,,,,,
44162,,,,,,,
,,,,ACUMULADOS,RECUPERADOS,FALLECIDOS,ACTIVOS
Provincia,,Cantón,Distrito,Casos*,Casos*,Casos*,Casos*
,,,,,,,
,,,Valle de La Estrella,693,549,4,140
,,,Sin información de distrito,10,9,0,1
,,Matina,,874,678,9,187
,,,Batán,341,264,6,71
,,,Carrandí,321,244,2,75
,,,Matina,211,169,1,41
,,,Sin información de distrito,1,1,0,0
,,Pococí,,2457,1316,17,1124
,,,Cariari,628,321,3,304
,,,Colorado,15,6,0,9
,,,Guápiles,821,431,7,383
,,,Jiménez,178,90,0,88
,,,La Colonia,93,33,3,57
,,,Rita,444,241,2,201
,,,Roxana,275,192,2,81
,,,Sin información de distrito,3,2,0,1
,,Siquirres,,1478,967,13,498
,,,El Cairo,205,162,3,40
,,,Florida,62,48,0,14
,,,Germania,57,38,1,18
,,,La Alegría,117,81,0,36
,,,Pacuarito,95,65,0,30
,,,Reventazón,0,0,0,0
,,,Siquirres,941,572,9,360
,,,Sin información de distrito,1,1,0,0
,,Talamanca,,1220,314,23,883
,,,Bratsi,439,105,12,322
,,,Cahuita,188,78,1,109
,,,Sixaola,309,93,2,214
,,,Telire,283,37,8,238
,,,Sin información de distrito,1,1,0,0
,,Sin información de Cantón,,0,0,0,0
Otros2,,,,571,285,0,286
TOTAL,,,,137093,84991,1690,50412
"Fuente: Dirección de Vigilancia de la Salud, Ministerio de Salud,2020",,,,,,,
"1En razón del método y las investigaciones epidemiológicas, los datos diarios pueden variar",,,,,,,
"2""Otros""  significa que no se cuenta con información de los casos en el territorio o se encuentran en investigación.",,,,,,,
